age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
26,62013.86,72,46.97,0,31,34.71,Central,Basic,0,0,0.3193
42,52358.47,60,7.1,3,13,88.29,Central,Basic,0,0,0.3212
21,44487.1,100,34.24,0,12,94.38,South,Standard,1,1,0.7039
57,43302.21,90,94.57,4,23,11.02,West,Premium,1,1,0.6975
41,36415.06,63,61.92,1,41,11.27,South,Basic,1,1,0.6061
33,62968.33,32,79.31,2,15,38.76,West,Standard,0,1,0.5215
66,27881.84,80,97.62,1,3,52.36,Central,Basic,1,1,0.771
28,20768.34,66,33.17,1,43,49.69,East,Standard,1,0,0.3751
48,58171.97,82,58.54,4,52,56.11,East,Basic,1,1,0.8293
52,97649.73,13,90.1,3,47,47.79,Central,Basic,1,1,0.6844
20,109426.67,18,9.79,2,35,31.37,East,Premium,0,0,0.2391
52,15542.72,2,63.89,3,59,82.54,North,Premium,1,1,0.7214
32,65796.26,94,38.26,1,49,87.01,North,Premium,1,1,0.7473
52,65863.46,115,67.24,1,48,95.1,East,Standard,1,1,0.907
67,74274.89,51,0.56,2,15,12.54,North,Premium,0,0,0.1109
66,80074.52,9,97.51,2,39,38.74,North,Basic,1,1,0.6814
42,50597.39,57,54.28,1,11,10.03,Central,Premium,0,0,0.3182
33,49954.6,78,13.66,2,16,9.7,West,Standard,0,0,0.1377
54,55200.74,72,4.25,2,16,2.26,South,Standard,0,0,0.1524
61,64605.77,75,3.0,0,34,9.66,North,Premium,0,0,0.1612
34,15860.65,43,66.06,1,48,47.96,South,Premium,1,1,0.6735
27,43710.31,37,98.87,3,3,59.39,North,Standard,1,1,0.7038
47,31735.28,55,51.5,4,27,53.46,South,Standard,0,0,0.4926
40,54576.48,64,35.11,2,54,4.33,Central,Premium,0,0,0.292
20,61621.43,11,67.46,0,41,37.76,South,Standard,1,1,0.6125
45,47670.08,80,30.81,1,17,48.17,South,Basic,0,0,0.3417
62,72209.51,87,88.26,1,3,22.29,Central,Premium,1,1,0.6352
22,50068.05,91,29.76,2,9,42.44,South,Premium,0,0,0.2581
49,84810.66,12,80.24,0,48,23.86,South,Standard,0,1,0.6185
19,47012.17,26,48.21,1,2,23.2,West,Premium,0,0,0.2398
31,61504.13,18,54.53,2,36,17.26,East,Basic,0,0,0.3769
37,41914.38,110,21.26,3,6,35.24,West,Basic,0,0,0.1996
54,54617.54,87,16.96,7,21,42.04,East,Standard,0,0,0.1677
22,74858.83,17,35.98,4,28,85.55,Central,Basic,0,1,0.5105
45,52408.07,70,87.16,3,23,74.13,West,Standard,1,1,0.8387
21,51583.39,72,7.47,0,28,77.41,North,Basic,0,0,0.4362
25,70808.56,99,80.12,2,36,71.84,North,Premium,1,1,0.8629
67,76836.32,47,47.6,2,9,6.56,North,Premium,0,0,0.218
65,46898.33,102,67.89,3,59,81.17,West,Premium,1,1,0.8874
19,65728.88,20,31.9,2,38,2.84,Central,Standard,0,0,0.1962
32,15000.0,106,0.0,2,11,96.76,Central,Standard,0,0,0.4295
25,60261.53,18,92.17,1,23,37.38,South,Basic,0,1,0.6475
34,29578.84,4,98.47,2,32,82.71,East,Premium,1,1,0.7501
20,73582.0,15,1.82,0,12,84.35,South,Basic,1,0,0.3714
59,16371.74,62,24.58,4,17,64.54,Central,Premium,0,0,0.3665
48,55484.31,81,68.27,4,7,48.54,North,Basic,0,0,0.412
37,30726.17,3,31.29,4,18,41.99,East,Basic,0,0,0.1732
52,58762.74,56,48.85,1,30,65.42,South,Basic,1,1,0.6521
45,43554.72,89,7.68,0,6,93.04,West,Standard,0,0,0.4515
64,109902.36,85,96.49,1,46,38.12,South,Basic,1,1,0.6979
67,57499.08,81,0.31,2,51,52.44,North,Premium,1,0,0.3152
48,33695.08,103,11.21,3,37,39.54,West,Standard,0,0,0.2024
66,67061.07,32,67.57,4,8,64.59,South,Standard,0,1,0.5854
65,33770.65,102,44.91,5,39,22.6,West,Premium,0,0,0.2909
57,24671.39,79,66.44,3,1,73.96,East,Standard,1,1,0.723
63,61585.65,92,95.34,3,54,48.91,West,Premium,1,1,0.8212
56,15327.58,15,54.53,3,50,6.7,South,Basic,0,0,0.4933
62,58342.74,110,57.92,2,47,75.67,South,Standard,1,1,0.8298
36,51422.12,53,90.72,2,19,83.04,North,Basic,0,1,0.8552
18,78564.78,13,83.85,1,7,50.47,South,Basic,0,1,0.6077
52,46131.84,56,85.69,2,16,3.16,East,Standard,0,1,0.5346
28,69779.08,98,74.36,0,46,6.85,West,Standard,1,1,0.7334
35,51903.03,112,37.07,2,37,69.8,South,Standard,1,1,0.6671
26,53278.89,7,97.54,4,12,19.78,West,Basic,0,1,0.5519
31,48284.86,84,15.82,0,27,11.86,Central,Standard,0,0,0.1657
60,52267.41,84,55.87,4,45,13.12,West,Standard,0,1,0.5854
48,56855.53,40,41.13,0,32,55.68,South,Premium,1,0,0.4243
35,58794.38,77,33.81,2,30,40.49,Central,Basic,1,0,0.2115
