age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
62,59466.05,89,51.53,1,25,9.07,South,Premium,1,0,0.3455
45,36677.17,85,27.88,3,8,23.77,South,Basic,1,0,0.2161
28,55680.19,15,26.78,2,58,68.48,North,Premium,0,1,0.5232
61,60696.51,112,69.75,3,17,97.17,North,Premium,1,1,0.8365
61,86507.79,29,51.27,2,30,68.1,North,Basic,1,1,0.6781
41,39565.81,41,5.26,1,53,94.78,East,Standard,0,0,0.4243
18,58451.0,12,97.72,1,24,76.06,Central,Basic,1,1,0.7732
23,61253.02,85,27.32,5,36,50.7,Central,Basic,0,0,0.322
31,74428.44,78,94.23,1,29,48.92,West,Standard,1,1,0.7097
40,90386.75,106,84.25,1,10,85.24,West,Premium,1,1,0.8429
44,35918.91,37,39.29,2,0,33.07,West,Basic,1,0,0.1411
55,56515.19,21,26.57,1,32,90.4,South,Standard,1,1,0.5688
62,58990.15,34,11.11,4,41,65.93,South,Basic,0,0,0.3221
69,50732.16,100,72.16,2,35,97.48,East,Basic,1,1,0.9112
45,50665.27,105,27.74,0,34,11.7,North,Basic,0,0,0.2575
32,44753.65,81,80.22,0,2,48.97,South,Standard,1,1,0.6261
37,97246.99,79,42.35,2,22,81.64,West,Basic,1,1,0.6919
19,46875.15,6,7.32,1,49,6.83,West,Standard,0,0,0.2148
64,52142.67,49,5.69,3,17,33.73,West,Standard,0,0,0.1341
56,80832.7,86,30.28,3,36,12.15,South,Standard,0,0,0.2094
55,58356.26,19,60.7,2,35,16.07,South,Standard,1,0,0.4726
31,57373.58,97,30.52,3,10,91.41,North,Basic,1,1,0.5913
54,65128.42,75,53.2,1,12,53.53,Central,Basic,0,1,0.5874
26,17029.54,45,40.52,1,24,29.21,East,Premium,0,0,0.1817
52,20837.61,24,80.58,7,54,73.31,Central,Basic,1,1,0.733
61,60640.05,84,41.2,4,21,98.12,South,Basic,1,1,0.6851
41,29304.08,68,67.03,1,25,5.82,East,Standard,1,0,0.4576
62,70508.47,92,23.53,4,58,25.85,Central,Basic,1,0,0.3293
43,36386.72,77,30.42,2,36,58.87,North,Premium,0,0,0.4378
31,39762.49,91,9.57,2,27,99.41,North,Basic,0,0,0.4478
57,36437.15,5,10.33,4,20,41.84,East,Premium,0,0,0.1512
50,44012.8,27,75.49,3,3,56.02,West,Premium,1,1,0.5815
61,78806.73,49,6.88,1,38,18.44,Central,Basic,0,0,0.152
53,82709.73,44,98.95,4,8,25.21,North,Basic,1,1,0.5254
28,70936.1,19,99.65,0,10,7.89,South,Premium,1,0,0.4725
58,32245.24,72,41.67,1,7,7.33,East,Premium,1,0,0.2026
27,55499.43,5,63.37,2,41,50.84,North,Premium,0,1,0.5919
43,83603.11,36,79.25,4,6,18.0,North,Basic,1,0,0.348
37,15000.0,100,65.2,4,19,71.93,South,Standard,1,1,0.7895
27,21961.64,108,14.34,3,36,52.81,West,Basic,1,0,0.3597
23,93964.89,95,82.83,1,17,79.69,South,Basic,1,1,0.8607
18,45320.26,6,14.83,4,39,30.76,North,Premium,0,0,0.1695
49,24517.06,68,44.39,2,1,92.79,East,Standard,1,1,0.5805
47,19080.17,95,79.26,0,18,46.72,South,Basic,0,1,0.7391
27,38956.91,38,42.08,3,14,71.48,East,Basic,0,0,0.4638
20,43186.51,16,30.88,4,3,40.76,Central,Standard,0,0,0.146
50,58145.17,23,95.3,1,17,74.92,East,Standard,1,1,0.7917
44,67381.93,107,7.04,5,38,34.67,West,Standard,0,0,0.2124
21,67244.8,88,66.9,0,43,63.72,North,Basic,1,1,0.8097
63,87424.54,73,79.99,0,33,32.95,West,Standard,1,1,0.7083
31,51775.29,118,16.7,2,52,48.98,East,Premium,1,0,0.4128
31,52538.97,6,29.69,0,22,5.03,Central,Standard,0,0,0.1532
45,55457.15,46,92.67,0,25,63.61,West,Basic,1,1,0.827
58,79947.71,10,89.46,2,19,85.22,West,Premium,1,1,0.8119
48,91877.97,37,24.17,4,38,47.77,North,Basic,0,0,0.2666
42,53816.03,50,82.93,2,54,36.71,East,Basic,1,1,0.7292
47,61217.16,18,49.19,1,59,24.46,Central,Basic,1,0,0.47
61,72734.65,27,86.4,3,14,62.15,South,Premium,1,1,0.7368
58,70967.73,15,78.99,0,38,7.79,North,Standard,1,1,0.5124
39,29007.25,81,91.89,3,56,67.84,Central,Basic,1,1,0.8769
26,53812.65,12,95.36,1,36,21.69,Central,Basic,1,1,0.6251
54,58211.55,14,28.51,4,7,42.0,South,Standard,0,0,0.2065
34,50566.23,87,84.7,4,4,25.86,Central,Premium,1,1,0.6155
32,78729.22,35,51.1,0,11,5.98,West,Premium,0,0,0.2284
27,39007.4,90,44.95,0,40,87.86,North,Premium,0,1,0.701
66,53781.64,83,49.33,2,24,59.67,West,Basic,0,1,0.612
18,55497.15,18,88.73,2,45,52.54,Central,Standard,1,1,0.691
39,39165.81,31,63.73,1,26,73.44,East,Standard,1,1,0.7295
48,61898.9,85,99.83,0,49,65.43,North,Premium,1,1,0.8738
43,79020.3,51,66.83,4,49,1.72,East,Premium,0,1,0.5187
65,61700.43,74,88.03,1,44,7.33,West,Premium,0,1,0.7718
62,44025.02,44,54.57,4,18,56.49,South,Basic,0,0,0.4982
64,98769.98,36,99.27,2,24,62.02,East,Basic,1,1,0.7627
64,62786.85,20,18.64,0,18,8.35,East,Basic,0,0,0.1406
62,32284.98,71,49.38,4,46,54.25,Central,Standard,1,1,0.6166
51,23120.73,15,13.71,2,23,80.68,South,Standard,0,0,0.3495
25,81403.68,78,83.28,3,34,38.59,South,Basic,1,1,0.6616
25,62100.51,107,58.0,0,52,40.52,Central,Premium,1,1,0.6867
36,27222.46,52,65.52,2,25,79.8,North,Basic,0,1,0.7762
29,62070.96,61,63.96,1,7,97.84,East,Premium,1,1,0.738
56,46360.01,48,6.0,0,8,1.31,North,Premium,0,0,0.1334
