age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
44,18333.07,95,0.84,1,21,47.52,Central,Basic,1,0,0.184
59,56367.88,29,60.49,2,10,63.94,West,Premium,1,1,0.578
34,50482.26,23,18.72,2,44,54.79,East,Premium,0,0,0.3112
22,47885.33,102,7.97,2,9,76.69,East,Basic,0,0,0.4188
60,23637.06,99,27.29,5,57,48.83,West,Standard,1,0,0.451
30,74538.99,18,14.41,1,23,44.47,South,Standard,1,0,0.1925
33,19582.13,74,31.92,3,5,28.85,South,Basic,0,0,0.2253
43,73193.63,70,53.33,1,6,31.59,Central,Standard,1,0,0.4029
32,51073.39,96,32.05,6,50,4.66,East,Standard,0,0,0.3024
45,27485.31,89,66.98,0,34,44.65,Central,Standard,1,1,0.6613
43,71963.68,51,61.02,2,7,10.01,East,Basic,0,0,0.2772
29,33908.99,68,69.14,2,52,67.57,Central,Standard,1,1,0.8121
24,36925.53,55,43.44,3,35,55.36,North,Basic,0,0,0.4291
60,35689.23,33,3.85,5,59,35.13,East,Premium,0,0,0.2552
19,46748.68,48,52.65,4,38,53.81,North,Premium,1,1,0.5279
25,56275.43,73,68.08,5,56,5.18,North,Standard,0,1,0.6504
69,63155.54,37,72.19,1,4,2.39,Central,Basic,0,0,0.4462
45,30380.49,41,28.06,3,43,24.7,Central,Basic,0,0,0.2217
27,66315.67,48,49.22,2,46,26.91,East,Standard,0,0,0.3891
33,63876.99,5,11.44,1,56,50.61,South,Basic,0,0,0.2817
19,60713.56,106,43.46,4,44,22.38,Central,Premium,0,0,0.3812
64,59464.77,67,16.52,5,3,41.51,Central,Standard,0,0,0.1456
41,41528.52,11,18.43,2,54,62.08,West,Standard,0,0,0.4014
39,36754.38,95,22.13,1,17,79.81,South,Premium,0,1,0.6087
42,42097.83,78,59.59,8,22,55.21,South,Standard,0,1,0.606
25,89409.56,101,12.07,5,23,58.36,North,Basic,0,0,0.3776
40,105906.39,34,42.6,1,0,70.7,West,Basic,0,1,0.5492
31,86298.61,90,62.49,7,48,24.93,Central,Basic,1,1,0.5562
34,77015.41,70,79.39,1,44,1.85,West,Standard,1,1,0.647
69,50433.95,37,73.82,7,57,40.7,West,Basic,1,1,0.7223
60,28252.33,21,16.77,3,19,38.91,West,Premium,0,0,0.1783
24,66222.87,12,7.52,0,49,18.39,South,Basic,1,0,0.1789
53,55922.93,98,15.89,7,31,55.35,East,Standard,1,0,0.3432
49,69349.88,36,70.9,3,26,38.42,North,Standard,0,0,0.487
50,71428.53,44,74.79,6,57,55.12,East,Basic,1,1,0.8026
63,35076.13,99,46.6,3,20,13.4,East,Basic,0,0,0.2314
63,39227.7,25,2.17,6,56,1.97,Central,Standard,0,0,0.2072
38,63125.75,19,65.64,6,6,81.72,West,Basic,1,1,0.6554
68,57722.59,13,3.88,2,31,59.07,North,Basic,0,0,0.2653
39,37686.25,59,72.27,4,55,40.14,North,Standard,1,1,0.7266
68,55569.04,7,40.48,4,25,72.41,North,Basic,0,0,0.4822
18,53589.12,83,14.93,5,15,45.44,North,Basic,0,0,0.1839
21,112315.36,86,25.04,2,41,26.48,Central,Premium,0,0,0.317
49,50274.72,77,57.05,3,59,72.91,West,Basic,1,1,0.8114
21,35415.83,96,37.13,5,59,54.59,West,Basic,1,1,0.5624
51,49520.38,17,7.3,2,17,58.73,East,Premium,0,0,0.2133
26,37737.51,70,81.36,1,35,64.8,West,Basic,1,1,0.8642
18,54914.4,59,44.29,4,39,30.09,South,Standard,0,0,0.3089
44,75995.6,17,26.33,5,35,24.67,South,Standard,0,0,0.1819
24,76579.14,109,31.09,3,42,60.6,North,Basic,1,1,0.6117
32,48254.47,119,29.25,3,5,67.31,West,Basic,0,1,0.5072
53,67176.21,39,23.36,4,11,23.61,North,Standard,0,0,0.1145
30,74665.64,84,8.85,2,8,62.1,Central,Premium,0,0,0.3142
22,48096.48,69,66.94,3,31,61.0,South,Basic,1,1,0.8311
65,42016.09,92,61.93,1,22,34.01,West,Standard,0,1,0.5147
64,73759.86,13,0.31,6,27,63.02,North,Basic,0,0,0.2855
24,59494.12,56,71.18,4,50,21.53,East,Standard,0,1,0.6848
36,60386.46,110,18.47,4,54,35.12,East,Standard,0,0,0.3447
50,52974.01,108,60.58,3,41,4.7,West,Premium,1,1,0.6529
45,59239.89,77,50.21,2,31,58.09,West,Premium,1,1,0.6476
22,69745.77,11,7.97,5,56,34.35,North,Basic,0,0,0.217
18,15000.0,53,4.43,4,36,30.13,North,Premium,0,0,0.1643
43,23305.64,92,17.14,3,0,50.32,North,Premium,0,0,0.2266
22,42800.76,57,33.72,2,6,37.42,Central,Standard,0,0,0.1617
68,53569.22,9,37.57,5,39,73.46,North,Premium,1,0,0.4389
48,48095.23,39,37.52,3,36,47.37,South,Basic,1,0,0.2988
51,36096.4,116,26.86,3,32,36.27,West,Premium,0,0,0.2518
47,80123.44,112,55.68,3,54,38.46,South,Premium,1,1,0.6876
42,36361.89,88,32.59,6,17,4.67,East,Standard,0,0,0.1669
40,49480.27,42,60.11,2,24,20.15,South,Standard,1,0,0.3956
25,78417.2,37,17.62,4,55,14.25,Central,Basic,1,0,0.1617
51,40656.11,54,57.16,4,24,4.51,North,Standard,0,0,0.3215
48,36094.62,34,36.5,3,43,15.3,South,Basic,1,0,0.2489
51,50331.87,52,11.81,2,6,4.04,Central,Premium,0,0,0.0938
41,79471.89,51,28.65,2,22,26.94,East,Basic,0,0,0.1582
23,42183.55,94,22.62,5,22,56.42,South,Basic,1,0,0.446
58,92362.8,85,44.31,0,10,62.11,Central,Premium,1,1,0.5391
44,82755.89,91,78.44,2,24,42.64,South,Standard,0,1,0.6095
19,25967.01,108,78.39,1,11,84.92,South,Basic,1,1,0.8938
51,31477.33,86,69.62,3,54,63.92,South,Standard,1,1,0.8915
35,35430.95,55,70.06,4,40,57.23,East,Basic,0,1,0.7765
25,64056.73,8,63.85,2,34,24.23,South,Standard,0,0,0.4879
44,21469.76,107,73.32,4,1,59.61,East,Basic,0,1,0.7637
18,65527.32,26,67.14,3,40,15.99,South,Basic,0,1,0.547
63,71042.31,41,42.68,2,52,42.09,East,Premium,1,0,0.3783
36,15000.0,55,29.17,3,8,69.71,East,Basic,0,0,0.4216
56,95274.26,38,26.81,5,57,76.38,East,Premium,1,1,0.5511
55,35494.7,112,41.61,4,49,8.89,West,Basic,1,0,0.3555
