age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
35,50369.24,108,43.5,5,18,32.93,West,Basic,0,0,0.2673
51,35081.63,119,30.49,7,14,31.79,North,Standard,1,0,0.2396
39,41823.92,2,11.38,6,10,42.06,South,Standard,0,0,0.1551
28,16887.31,67,15.67,10,8,38.37,East,Standard,0,0,0.2484
60,75381.53,72,43.19,4,15,9.2,West,Basic,0,0,0.1625
27,58150.84,111,6.22,8,13,24.65,Central,Standard,0,0,0.1742
39,42517.47,105,45.7,11,16,11.04,Central,Standard,0,0,0.289
45,43679.65,95,35.6,6,8,32.07,West,Premium,0,0,0.2325
57,31409.45,34,15.18,10,19,28.8,West,Basic,0,0,0.166
40,33177.66,59,46.17,5,2,30.86,South,Basic,0,0,0.2468
59,79315.9,114,6.05,9,15,12.74,North,Basic,0,0,0.2205
30,33257.87,85,46.6,8,0,18.92,South,Premium,0,0,0.3007
68,68688.36,95,19.06,8,14,43.7,Central,Standard,0,0,0.2438
48,63931.64,43,23.64,9,11,4.64,West,Standard,0,0,0.1555
21,23973.86,63,48.82,7,16,14.49,Central,Basic,0,0,0.3506
48,31191.84,30,38.34,16,3,21.64,West,Premium,0,0,0.1905
69,17728.27,20,47.62,7,8,7.32,East,Premium,0,0,0.2913
53,75830.1,93,38.39,11,15,1.24,East,Standard,0,0,0.222
38,33846.33,22,18.39,12,10,27.24,East,Basic,0,0,0.1447
18,46548.46,61,37.83,5,4,2.16,South,Premium,0,0,0.1735
52,42626.01,60,34.83,10,16,18.31,Central,Basic,0,0,0.1973
55,33518.85,68,46.17,12,5,24.15,South,Basic,0,0,0.3286
37,16641.26,33,34.16,7,0,9.07,West,Basic,0,0,0.1659
62,75122.58,3,37.66,3,4,35.87,North,Standard,0,0,0.1308
67,46865.29,55,25.14,6,8,31.0,East,Premium,0,0,0.1841
59,55677.21,101,14.38,9,7,46.39,South,Standard,0,0,0.2237
27,66795.59,62,20.76,3,14,42.79,East,Basic,0,0,0.1707
25,49737.12,27,39.19,3,3,44.49,Central,Standard,1,0,0.1624
65,37355.64,91,4.89,8,16,42.21,Central,Basic,1,0,0.1927
38,38502.68,61,2.85,7,11,22.74,North,Premium,0,0,0.1465
21,25258.55,61,12.48,4,0,38.12,Central,Basic,0,0,0.1273
28,46108.75,109,24.11,3,9,9.49,Central,Basic,0,0,0.1593
61,26371.46,74,8.41,8,6,27.22,West,Premium,0,0,0.2079
34,31249.94,89,22.44,4,16,13.53,North,Basic,0,0,0.1413
31,24383.63,9,3.44,12,8,0.74,Central,Basic,0,0,0.1694
62,52696.82,56,30.68,6,9,2.74,North,Basic,0,0,0.1253
