age,income,account_age_months,monthly_activity_score,support_tickets,num_logins,feature_usage_score,region,subscription_type,target,prediction,prediction_proba
44,39364.22,36,3.96,2,27,24.91,West,Basic,0,0,0.1232
19,15000.0,2,56.28,6,11,39.62,Central,Premium,0,0,0.4087
35,22554.89,87,25.36,5,47,19.33,Central,Basic,0,0,0.2606
32,54157.32,101,45.97,1,27,81.01,West,Basic,0,1,0.7124
49,30699.64,54,9.14,1,30,66.82,West,Standard,0,0,0.3346
26,54583.16,64,37.63,4,21,3.92,West,Premium,0,0,0.1767
25,70667.49,100,9.27,2,59,70.8,West,Basic,0,1,0.5406
31,67616.22,83,51.59,1,45,25.88,Central,Premium,0,0,0.4859
63,67612.45,88,34.59,3,23,69.03,West,Basic,0,1,0.5274
35,51995.25,8,62.25,2,50,31.34,East,Standard,0,1,0.5773
35,51861.97,70,58.4,2,9,67.91,West,Standard,0,1,0.6429
39,15000.0,33,0.15,3,0,17.62,North,Standard,0,0,0.1231
59,36296.59,102,6.91,1,10,50.24,Central,Basic,0,0,0.2207
52,75421.89,56,63.04,2,43,32.01,South,Premium,0,1,0.6194
60,50154.56,113,12.57,2,46,40.91,South,Basic,0,0,0.3366
36,36988.4,94,24.11,4,13,55.19,West,Basic,0,0,0.3865
37,39145.61,5,44.8,2,4,66.38,North,Basic,0,0,0.4574
31,49281.27,72,45.42,3,59,79.98,South,Basic,0,1,0.7052
56,38823.21,10,43.7,1,15,72.11,East,Standard,0,1,0.5116
58,74630.94,102,58.9,1,30,59.13,East,Premium,0,1,0.7398
65,70444.65,56,8.37,2,9,14.54,East,Premium,0,0,0.13
28,31115.05,31,9.6,3,56,82.56,South,Premium,0,0,0.442
64,15000.0,20,3.9,3,46,54.88,West,Basic,0,0,0.2562
31,43525.26,64,48.22,1,36,31.49,North,Basic,0,0,0.3512
63,49715.32,21,34.4,0,18,80.42,South,Standard,0,1,0.5128
20,34968.28,35,3.67,3,25,56.0,East,Basic,0,0,0.2093
63,40056.48,15,42.44,4,26,81.56,Central,Basic,0,0,0.482
60,32572.91,83,91.55,2,2,63.71,Central,Basic,0,1,0.8366
32,51990.92,110,73.81,1,17,66.45,North,Basic,1,1,0.8732
29,45055.78,42,5.07,1,57,65.61,South,Standard,0,0,0.363
